site,title,link,salary_min,salary_max,salary_currency,city,organization
HeadHanter,Водитель категории Е,https://adsrv.hh.ru/click?b=329606&c=30&meta=AFfyRCU0ZutRZOxrGP3eRWEibN19oVs4K0YNkF2EMAbXnD2hl1CExN7ruB_ChluDuZoBNHHc2Or1hwZDc3Ghg9TwWtpoxlivHSrZyT9TTqUPmEMrqhT464Lw4owl94UyU9rRsIdOEw4vRoTi9vA5JouZq1XveUAMGG-kZD5X0wtK4RsINAjvTXsWHnaevIzJFa_C493XN14CAusXCTwqIQ%3D%3D&place=35&clickType=link_to_vacancy,,100000.0,руб.,Омск,МАГНИТ
HeadHanter,Водитель на самовал,https://adsrv.hh.ru/click?b=367192&c=30&meta=Ie0SefWtf-6kbVa9JTEkox_41tUydF0ml3_WhDFlCHK4GcR1yVRQsM69Rfy-12RM6h-nU7jzcWoxb7WN8VaQUrpejIDon1rff_jmndB_RSQ1CzwZ-Up9NS4V4zQMrQfeU-Gu2Y8U6yJWQqqwHciPxrbTO8GKhPnwW6oOrqH1cQtT543p2IBAtcfnA3cAu2OK0sHwS8t1fpciXAwty6fqUA%3D%3D&place=36&clickType=link_to_vacancy,80000.0,100000.0,руб.,Тула,ООО ТСК
HeadHanter,Водитель-курьер с личным легковым автомобилем,https://lyubertsy.hh.ru/vacancy/77143606?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90000.0,130000.0,руб.,Москва,ТопДеливери
HeadHanter,Водитель Яндекс.Такси на АВТОМОБИЛЕ КОМПАНИИ,https://lyubertsy.hh.ru/vacancy/52493958?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,1300.0,2500.0,бел.руб.,Минск,ООО ПРАЙМ МОТОРС
HeadHanter,Водитель легкового автомобиля (такси),https://lyubertsy.hh.ru/vacancy/76399462?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90000.0,,руб.,Санкт-Петербург,ООО Вк Групп
HeadHanter,Водитель-курьер на личном автомобиле (Кемерово),https://lyubertsy.hh.ru/vacancy/76962474?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75000.0,,руб.,Кемерово,Ozon Производство
HeadHanter,Водитель-курьер (Разные районы города),https://lyubertsy.hh.ru/vacancy/75169942?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,130000.0,руб.,Санкт-Петербург,ТОКИО-CITY
HeadHanter,Водитель штатный на автомобиль компании,https://lyubertsy.hh.ru/vacancy/76966722?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,200000.0,руб.,Москва,Trust Human Resources
HeadHanter,Водитель-курьер на личном автомобиле (Гоголя ул.),https://lyubertsy.hh.ru/vacancy/77015906?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,67500.0,,руб.,Череповец,Ozon Производство
HeadHanter,Водитель-международник-стажёр,https://lyubertsy.hh.ru/vacancy/69183710?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,1200.0,,EUR,Минск,R Group
HeadHanter,Водитель-курьер на автомобиле компании (юг города),https://lyubertsy.hh.ru/vacancy/76640105?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,50000.0,55000.0,руб.,Санкт-Петербург,Орешкофф.рф
HeadHanter,Водитель Категории D,https://lyubertsy.hh.ru/vacancy/76947525?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,50000.0,60000.0,руб.,Видное,ООО Аэросиб С
HeadHanter,Курьер-водитель в Москве на доставку легких заказов (подработка),https://lyubertsy.hh.ru/vacancy/77051322?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,150000.0,руб.,Москва,ООО Курьерист
